name,lat,lng,googlePlaceId
Studland Site Gate,50.6408,-1.943736,
Manor Farm,50.64107873,-1.94918275,
South Beach,50.642286,-1.943616,
Middle Beach Car Park,50.64511212,-1.950394383,ChIJjWSejVMJc0gRa9LMKaQ9vA8
Knoll Beach Car Park,50.651852,-1.954822,ChIJh10gcfcJc0gRVNh5zA08LXM
Old Harry Rocks,50.6415056,-1.9244519,ChIJaUlbS-ALc0gRluPEla2RmQo
Agglestone Rock,50.64523657,-1.967904368,ChIJE8tdhusJc0gRRXqLBMwpMsE
Swanage Main Beach Car Park,50.61134179,-1.963286804,ChIJgSPP3HEJc0gRgbJwkZc93Gk
Swanage Clock Tower,50.61199636,-1.95793748,
Corfe Castle Car Park,50.6421304,-2.0586631,ChIJfQerlVcHc0gR-XqJhbjaxaE
Shell Bay,50.67583325,-1.946604669,ChIJGetBLLKgc0gRejh8H0q5Avk
Wareham Station,50.69263968,-2.115471186,ChIJ81_bFKOpc0gRtLfq2Ndrn9Y
Studland Stores,50.64208369,-1.952374294,ChIJ32vfEosJc0gRy-cKGKbHWLc
